"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-01-19 22:35:52.731255","10.55.49.164","134.43.190.35.bc.googleusercontent.com","UDP","90","43410  >  443 Len=48"
"2","2022-01-19 22:35:53.737347","10.55.49.164","33.195.244.35.bc.googleusercontent.com","UDP","90","45543  >  443 Len=48"
"3","2022-01-19 22:35:54.764015","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","74","41890  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2890900521 TSecr=0 WS=1024"
"4","2022-01-19 22:35:54.772713","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41890 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"5","2022-01-19 22:35:54.772817","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 41890  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2890901521 TSecr=0 WS=1024"
"6","2022-01-19 22:35:54.776547","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  41890 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"7","2022-01-19 22:35:54.776616","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41890  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"8","2022-01-19 22:35:54.776658","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TLSv1","571","Client Hello"
"9","2022-01-19 22:35:54.776896","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41890 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"10","2022-01-19 22:35:54.776940","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","[TCP Dup ACK 7#1] 41890  >  443 [ACK] Seq=518 Ack=1 Win=67107840 Len=0"
"11","2022-01-19 22:36:00.794264","10.8.0.1","edge-star-shv-02-ort2.facebook.com","QUIC","1274","Initial, DCID=53258c51ceabdd4f, PKN: 13087304, CRYPTO, PADDING"
"12","2022-01-19 22:36:00.914324","edge-star-shv-02-ort2.facebook.com","10.8.0.1","QUIC","1274","Initial, SCID=6b3906d6c334fe90, PKN: 7558066, ACK, PADDING"
"13","2022-01-19 22:36:00.914361","10.8.0.1","edge-star-shv-02-ort2.facebook.com","QUIC","1274","0-RTT, DCID=53258c51ceabdd4f"
"14","2022-01-19 22:36:01.929490","10.8.0.1","edge-star-shv-02-ort2.facebook.com","QUIC","366","0-RTT, DCID=53258c51ceabdd4f"
"15","2022-01-19 22:36:02.953438","10.8.0.1","edge-star-shv-02-ort2.facebook.com","QUIC","1274","0-RTT, DCID=53258c51ceabdd4f"
"16","2022-01-19 22:36:03.977216","10.8.0.1","edge-star-shv-02-ort2.facebook.com","QUIC","1274","0-RTT, DCID=53258c51ceabdd4f"
"17","2022-01-19 22:36:05.001249","10.8.0.1","edge-star-shv-02-ort2.facebook.com","QUIC","469","0-RTT, DCID=53258c51ceabdd4f"
"18","2022-01-19 22:36:06.025253","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","74","60722  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2218755198 TSecr=0 WS=1024"
"19","2022-01-19 22:36:06.027803","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","443  >  60722 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"20","2022-01-19 22:36:06.027843","10.8.0.1","gh-in-f188.1e100.net","TCP","74","55490  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1668756274 TSecr=0 WS=1024"
"21","2022-01-19 22:36:06.030072","gh-in-f188.1e100.net","10.8.0.1","TCP","54","5228  >  55490 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"22","2022-01-19 22:36:06.030109","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","74","60726  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2218755265 TSecr=0 WS=1024"
"23","2022-01-19 22:36:06.032168","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","443  >  60726 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"24","2022-01-19 22:36:06.032203","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TCP","74","55410  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2830675212 TSecr=0 WS=1024"
"25","2022-01-19 22:36:06.034365","edge-star-shv-02-ort2.facebook.com","10.8.0.1","TCP","54","443  >  55410 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"26","2022-01-19 22:36:06.034399","10.8.0.1","edge-mqtt-shv-01-ort2.facebook.com","TCP","74","42706  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1908053757 TSecr=0 WS=1024"
"27","2022-01-19 22:36:06.036502","edge-mqtt-shv-01-ort2.facebook.com","10.8.0.1","TCP","54","443  >  42706 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"28","2022-01-19 22:36:06.036538","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 60722  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2218756195 TSecr=0 WS=1024"
"29","2022-01-19 22:36:06.038920","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  60722 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"30","2022-01-19 22:36:06.038951","10.8.0.1","gh-in-f188.1e100.net","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 55490  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1668757278 TSecr=0 WS=1024"
"31","2022-01-19 22:36:06.040886","gh-in-f188.1e100.net","10.8.0.1","TCP","54","[TCP Retransmission] 5228  >  55490 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"32","2022-01-19 22:36:06.040914","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 60726  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2218756291 TSecr=0 WS=1024"
"33","2022-01-19 22:36:06.042867","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  60726 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"34","2022-01-19 22:36:06.042896","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 55410  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2830676209 TSecr=0 WS=1024"
"35","2022-01-19 22:36:06.044583","edge-star-shv-02-ort2.facebook.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  55410 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"36","2022-01-19 22:36:06.044611","10.8.0.1","edge-mqtt-shv-01-ort2.facebook.com","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 42706  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1908054785 TSecr=0 WS=1024"
"37","2022-01-19 22:36:06.046828","edge-mqtt-shv-01-ort2.facebook.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  42706 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"38","2022-01-19 22:36:06.046854","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 60722  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2218758211 TSecr=0 WS=1024"
"39","2022-01-19 22:36:06.048393","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  60722 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"40","2022-01-19 22:36:06.048422","10.8.0.1","gh-in-f188.1e100.net","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 55490  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1668759294 TSecr=0 WS=1024"
"41","2022-01-19 22:36:06.050010","gh-in-f188.1e100.net","10.8.0.1","TCP","54","[TCP Retransmission] 5228  >  55490 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"42","2022-01-19 22:36:06.050035","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 55410  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2830678225 TSecr=0 WS=1024"
"43","2022-01-19 22:36:06.051643","edge-star-shv-02-ort2.facebook.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  55410 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"44","2022-01-19 22:36:06.051669","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 60726  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2218758307 TSecr=0 WS=1024"
"45","2022-01-19 22:36:06.053363","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  60726 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"46","2022-01-19 22:36:06.053391","10.8.0.1","edge-mqtt-shv-01-ort2.facebook.com","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 42706  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1908056801 TSecr=0 WS=1024"
"47","2022-01-19 22:36:06.055191","edge-mqtt-shv-01-ort2.facebook.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  42706 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"48","2022-01-19 22:36:06.055217","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","60722  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"49","2022-01-19 22:36:06.055230","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TLSv1","286","Client Hello"
"50","2022-01-19 22:36:06.055267","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","443  >  60722 [ACK] Seq=1 Ack=233 Win=65535 Len=0"
"51","2022-01-19 22:36:06.055277","10.8.0.1","gh-in-f188.1e100.net","TCP","54","55490  >  5228 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"52","2022-01-19 22:36:06.055288","10.8.0.1","gh-in-f188.1e100.net","TLSv1","587","Client Hello"
"53","2022-01-19 22:36:06.055320","gh-in-f188.1e100.net","10.8.0.1","TCP","54","5228  >  55490 [ACK] Seq=1 Ack=534 Win=65535 Len=0"
"54","2022-01-19 22:36:06.055329","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","60726  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"55","2022-01-19 22:36:06.055364","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TLSv1","286","Client Hello"
"56","2022-01-19 22:36:06.055385","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","443  >  60726 [ACK] Seq=1 Ack=233 Win=65535 Len=0"
"57","2022-01-19 22:36:06.055395","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TCP","54","55410  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"58","2022-01-19 22:36:06.055404","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TLSv1","461","Client Hello"
"59","2022-01-19 22:36:06.055424","edge-star-shv-02-ort2.facebook.com","10.8.0.1","TCP","54","443  >  55410 [ACK] Seq=1 Ack=408 Win=65535 Len=0"
"60","2022-01-19 22:36:06.055433","10.8.0.1","edge-mqtt-shv-01-ort2.facebook.com","TCP","54","42706  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"61","2022-01-19 22:36:06.055443","10.8.0.1","edge-mqtt-shv-01-ort2.facebook.com","TLSv1","279","Client Hello"
"62","2022-01-19 22:36:06.055459","edge-mqtt-shv-01-ort2.facebook.com","10.8.0.1","TCP","54","443  >  42706 [ACK] Seq=1 Ack=226 Win=65535 Len=0"
"63","2022-01-19 22:36:06.055467","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","[TCP Dup ACK 48#1] 60722  >  443 [ACK] Seq=233 Ack=1 Win=67107840 Len=0"
"64","2022-01-19 22:36:06.055476","10.8.0.1","gh-in-f188.1e100.net","TCP","54","[TCP Dup ACK 51#1] 55490  >  5228 [ACK] Seq=534 Ack=1 Win=67107840 Len=0"
"65","2022-01-19 22:36:06.055485","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","[TCP Dup ACK 54#1] 60726  >  443 [ACK] Seq=233 Ack=1 Win=67107840 Len=0"
"66","2022-01-19 22:36:06.055493","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TCP","54","[TCP Dup ACK 57#1] 55410  >  443 [ACK] Seq=408 Ack=1 Win=67107840 Len=0"
"67","2022-01-19 22:36:06.055501","10.8.0.1","edge-mqtt-shv-01-ort2.facebook.com","TCP","54","[TCP Dup ACK 60#1] 42706  >  443 [ACK] Seq=226 Ack=1 Win=67107840 Len=0"
"68","2022-01-19 22:36:13.291565","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","1392","Client Hello"
"69","2022-01-19 22:36:13.403863","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","1392","0-RTT, SCID=152419833c9a546c"
"70","2022-01-19 22:36:13.403965","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","74","48872  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=1064063721 TSecr=0 WS=1024"
"71","2022-01-19 22:36:13.407364","33.195.244.35.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  48872 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"72","2022-01-19 22:36:13.407421","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","75","Protected Payload (KP0)"
"73","2022-01-19 22:36:14.413577","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","629","Protected Payload (KP0)"
"74","2022-01-19 22:36:14.523657","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","67","Protected Payload (KP0)"
"75","2022-01-19 22:36:14.523903","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","1169","Protected Payload (KP0)"
"76","2022-01-19 22:36:14.643965","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","273","Protected Payload (KP0)"
"77","2022-01-19 22:36:14.644146","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","54","48872  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"78","2022-01-19 22:36:14.644234","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TLSv1.3","571","Client Hello"
"79","2022-01-19 22:36:14.644439","33.195.244.35.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  48872 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"80","2022-01-19 22:36:14.644518","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","629","Protected Payload (KP0)"
"81","2022-01-19 22:36:14.764050","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","67","Protected Payload (KP0)"
"82","2022-01-19 22:36:14.764652","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41890  >  443 [FIN, ACK] Seq=518 Ack=1 Win=67107840 Len=0"
"83","2022-01-19 22:36:14.764946","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41890 [ACK] Seq=1 Ack=519 Win=65535 Len=0"
"84","2022-01-19 22:36:14.765318","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41890 [FIN, ACK] Seq=1 Ack=519 Win=65535 Len=0"
"85","2022-01-19 22:36:14.765686","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","74","41940  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2890920522 TSecr=0 WS=1024"
"86","2022-01-19 22:36:14.774066","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41940 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"87","2022-01-19 22:36:14.774161","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","571","[TCP Spurious Retransmission] 48872  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=517"
"88","2022-01-19 22:36:14.774274","33.195.244.35.bc.googleusercontent.com","10.8.0.1","TCP","54","[TCP Dup ACK 79#1] 443  >  48872 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"89","2022-01-19 22:36:14.774326","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","1169","Protected Payload (KP0)"
"90","2022-01-19 22:36:14.870221","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","67","Protected Payload (KP0)"
"91","2022-01-19 22:36:14.870759","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","[TCP Retransmission] 41890  >  443 [FIN, ACK] Seq=518 Ack=1 Win=67107840 Len=0"
"92","2022-01-19 22:36:14.871035","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","[TCP Keep-Alive] 443  >  41890 [ACK] Seq=1 Ack=519 Win=65535 Len=0"
"93","2022-01-19 22:36:14.871220","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  41890 [FIN, ACK] Seq=1 Ack=519 Win=65535 Len=0"
"94","2022-01-19 22:36:14.871598","33.195.244.35.bc.googleusercontent.com","10.8.0.1","TLSv1.3","2850","Server Hello, Change Cipher Spec"
"95","2022-01-19 22:36:14.871778","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","629","Protected Payload (KP0)"
"96","2022-01-19 22:36:14.962815","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","67","Protected Payload (KP0)"
"97","2022-01-19 22:36:14.962991","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","1169","Protected Payload (KP0)"
"98","2022-01-19 22:36:15.084694","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","67","Protected Payload (KP0)"
"99","2022-01-19 22:36:15.084894","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","[TCP Retransmission] 41890  >  443 [FIN, ACK] Seq=518 Ack=1 Win=67107840 Len=0"
"100","2022-01-19 22:36:15.085089","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","[TCP Keep-Alive] 443  >  41890 [ACK] Seq=1 Ack=519 Win=65535 Len=0"
"101","2022-01-19 22:36:15.085526","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  41890 [FIN, ACK] Seq=1 Ack=519 Win=65535 Len=0"
"102","2022-01-19 22:36:15.085918","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","571","[TCP Spurious Retransmission] 48872  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=517"
"103","2022-01-19 22:36:15.086268","33.195.244.35.bc.googleusercontent.com","10.8.0.1","TCP","54","443  >  48872 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"104","2022-01-19 22:36:15.086532","33.195.244.35.bc.googleusercontent.com","10.8.0.1","TCP","739","[TCP Out-Of-Order] 443  >  48872 [PSH, ACK] Seq=1 Ack=518 Win=65535 Len=685"
"105","2022-01-19 22:36:15.086618","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 41940  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2890921521 TSecr=0 WS=1024"
"106","2022-01-19 22:36:15.093881","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  41940 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"107","2022-01-19 22:36:15.094131","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","75","Protected Payload (KP0)"
"108","2022-01-19 22:36:15.805822","33.195.244.35.bc.googleusercontent.com","10.8.0.1","QUIC","67","Protected Payload (KP0)"
"109","2022-01-19 22:36:15.806047","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41890  >  443 [ACK] Seq=519 Ack=2 Win=67107840 Len=0"
"110","2022-01-19 22:36:15.806388","33.195.244.35.bc.googleusercontent.com","10.8.0.1","TCP","54","[TCP Out-Of-Order] 443  >  48872 [FIN, ACK] Seq=686 Ack=518 Win=65535 Len=0"
"111","2022-01-19 22:36:15.806623","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41940  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"112","2022-01-19 22:36:15.806700","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","[TCP Dup ACK 109#1] 41890  >  443 [ACK] Seq=519 Ack=2 Win=67107840 Len=0"
"113","2022-01-19 22:36:15.806760","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","[TCP Dup ACK 109#2] 41890  >  443 [ACK] Seq=519 Ack=2 Win=67107840 Len=0"
"114","2022-01-19 22:36:15.806818","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","54","48872  >  443 [ACK] Seq=518 Ack=2797 Win=65535 Len=0"
"115","2022-01-19 22:36:15.806875","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","[TCP Dup ACK 109#3] 41890  >  443 [ACK] Seq=519 Ack=2 Win=67107840 Len=0"
"116","2022-01-19 22:36:15.806935","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","54","[TCP Dup ACK 114#1] 48872  >  443 [ACK] Seq=518 Ack=2797 Win=65535 Len=0"
"117","2022-01-19 22:36:15.806998","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","54","[TCP Dup ACK 114#2] 48872  >  443 [ACK] Seq=518 Ack=2797 Win=65535 Len=0"
"118","2022-01-19 22:36:15.807067","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","[TCP Dup ACK 111#1] 41940  >  443 [ACK] Seq=1 Ack=1 Win=67107840 Len=0"
"119","2022-01-19 22:36:15.807130","10.8.0.1","33.195.244.35.bc.googleusercontent.com","TCP","54","[TCP Dup ACK 114#3] 48872  >  443 [ACK] Seq=518 Ack=2797 Win=65535 Len=0"
"120","2022-01-19 22:36:15.807186","10.8.0.1","33.195.244.35.bc.googleusercontent.com","QUIC","79","Protected Payload (KP0)"
"121","2022-01-19 22:36:16.809519","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TLSv1.3","571","Client Hello"
"122","2022-01-19 22:36:16.810019","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41940 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"123","2022-01-19 22:36:16.810339","gh-in-f188.1e100.net","10.8.0.1","TCP","54","5228  >  55490 [FIN, ACK] Seq=1 Ack=534 Win=65535 Len=0"
"124","2022-01-19 22:36:16.861344","10.8.0.1","gh-in-f188.1e100.net","TCP","54","55490  >  5228 [FIN, ACK] Seq=534 Ack=2 Win=67107840 Len=0"
"125","2022-01-19 22:36:16.861842","gh-in-f188.1e100.net","10.8.0.1","TCP","54","5228  >  55490 [ACK] Seq=2 Ack=535 Win=65535 Len=0"
"126","2022-01-19 22:36:16.862152","gh-in-f188.1e100.net","10.8.0.1","TCP","54","5228  >  55490 [FIN, ACK] Seq=2 Ack=535 Win=65535 Len=0"
"127","2022-01-19 22:36:16.862229","10.8.0.1","gh-in-f188.1e100.net","TCP","54","55490  >  5228 [RST] Seq=535 Win=0 Len=0"
"128","2022-01-19 22:36:16.939793","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TLSv1.3","1502","Server Hello, Change Cipher Spec"
"129","2022-01-19 22:36:16.990548","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41940  >  443 [ACK] Seq=518 Ack=1449 Win=67107840 Len=0"
"130","2022-01-19 22:36:16.991530","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","1432","443  >  41940 [PSH, ACK] Seq=1449 Ack=518 Win=65535 Len=1378 [TCP segment of a reassembled PDU]"
"131","2022-01-19 22:36:17.041835","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41940  >  443 [ACK] Seq=518 Ack=2827 Win=67107840 Len=0"
"132","2022-01-19 22:36:17.042370","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TLSv1.3","707","Application Data"
"133","2022-01-19 22:36:17.092720","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41940  >  443 [ACK] Seq=518 Ack=3480 Win=67107840 Len=0"
"134","2022-01-19 22:36:21.746948","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TLSv1.3","118","Change Cipher Spec, Application Data"
"135","2022-01-19 22:36:21.747428","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41940 [ACK] Seq=3480 Ack=582 Win=65535 Len=0"
"136","2022-01-19 22:36:21.798248","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TLSv1.3","158","Application Data"
"137","2022-01-19 22:36:21.798741","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TCP","54","443  >  41940 [ACK] Seq=3480 Ack=686 Win=65535 Len=0"
"138","2022-01-19 22:36:22.084149","ec2-34-228-127-240.compute-1.amazonaws.com","10.8.0.1","TLSv1.3","581","Application Data, Application Data"
"139","2022-01-19 22:36:22.134686","10.8.0.1","ec2-34-228-127-240.compute-1.amazonaws.com","TCP","54","41940  >  443 [ACK] Seq=686 Ack=4007 Win=67107840 Len=0"
"140","2022-01-19 22:36:29.507585","10.8.0.1","beta.kenyonralph.com","NTP","90","NTP Version 3, client"
"141","2022-01-19 22:36:29.684144","beta.kenyonralph.com","10.8.0.1","NTP","90","NTP Version 3, server"
"142","2022-01-19 22:36:30.808829","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TCP","74","55458  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2830705024 TSecr=0 WS=1024"
"143","2022-01-19 22:36:30.812665","edge-star-shv-02-ort2.facebook.com","10.8.0.1","TCP","54","443  >  55458 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"144","2022-01-19 22:36:30.812761","10.8.0.1","edge-star-shv-02-ort2.facebook.com","TCP","74","55460  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=2830705025 TSecr=0 WS=1024"
